district_id,district_name,latitude,longitude
1,Ariyalur,11.17233,79.24502
2,Chengalpattu,12.67871,79.98138
3,Chennai,13.10375,80.25697
4,Coimbatore,10.824,76.94372
5,Cuddalore,11.59248,79.50615
6,Dharmapuri,12.10942,78.26024
7,Dindigul,10.38944,77.7481
8,Erode,11.43701,77.33874
9,Kallakurichi,11.82117,79.01281
10,Kanchipuram,12.86056,79.88483
11,Kanniyakumari,8.31783,77.34431
12,Karur,10.78774,78.05764
13,Krishnagiri,12.46548,78.12072
14,Madurai,9.93934,78.04944
15,Mayiladuthurai,11.1132,79.66217
16,Nagapattinam,10.64101,79.74989
17,Namakkal,11.3334,78.10344
18,Perambalur,11.24016,78.87283
19,Pudukkottai,10.32011,78.91061
20,Ramanathapuram,9.32961,79.03974
21,Ranipet,12.91265,79.45992
22,Salem,11.71577,78.06321
23,Sivaganga,9.96768,78.57621
24,Tenkasi,9.13187,77.53394
25,Thanjavur,10.6633,79.24851
26,The Nilgiris,11.49162,76.63124
27,Theni,10.02046,77.48456
28,Thiruvallur,13.20505,79.76341
29,Thiruvarur,10.7395,79.55922
30,Tiruchirappalli,10.81533,78.50358
31,Tirunelveli,8.54602,77.63212
32,Tirupathur,12.57987,78.63229
33,Tiruppur,10.78292,77.36229
34,Tiruvannamalai,12.4215,79.1833
35,Tuticorin,8.90805,77.96472
36,Vellore,12.94527,78.96276
37,Villupuram,12.0937,79.55975
38,Virudhunagar,9.47159,77.95748
