district_id,district_name,day,forecast_rainfall_mm,forecast_temp_c,humidity_pct,evaporation_mm
1,Ariyalur,1,4.0,32.1,62.7,7.0
1,Ariyalur,2,2.7,29.7,68.5,2.6
1,Ariyalur,3,23.3,26.7,84.5,2.5
1,Ariyalur,4,46.6,27.9,85.6,1.8
1,Ariyalur,5,4.6,29.5,65.9,5.8
1,Ariyalur,6,3.7,30.3,68.9,5.8
1,Ariyalur,7,0.9,31.4,66.8,4.0
2,Chengalpattu,1,2.9,29.2,74.0,5.5
2,Chengalpattu,2,4.8,29.5,75.0,3.8
2,Chengalpattu,3,38.6,24.5,94.3,2.0
2,Chengalpattu,4,23.6,24.3,97.3,3.2
2,Chengalpattu,5,2.9,28.8,77.6,5.2
2,Chengalpattu,6,3.6,29.7,75.4,4.5
2,Chengalpattu,7,1.5,28.1,80.1,4.1
3,Chennai,1,1.7,33.6,62.4,5.1
3,Chennai,2,0.8,32.2,60.3,3.9
3,Chennai,3,0.0,33.1,62.2,6.9
3,Chennai,4,0.0,34.2,62.1,5.5
3,Chennai,5,0.0,34.6,57.8,4.7
3,Chennai,6,0.0,34.4,64.2,4.3
3,Chennai,7,0.0,32.4,60.2,6.2
4,Coimbatore,1,1.4,30.3,65.5,2.7
4,Coimbatore,2,1.3,32.4,67.6,6.2
4,Coimbatore,3,15.3,28.7,80.6,1.7
4,Coimbatore,4,34.1,29.7,85.3,4.8
4,Coimbatore,5,0.6,31.8,62.8,4.5
4,Coimbatore,6,4.3,32.7,69.2,6.8
4,Coimbatore,7,0.5,30.7,63.8,6.0
5,Cuddalore,1,0.0,34.9,74.4,3.7
5,Cuddalore,2,0.0,35.1,66.9,4.2
5,Cuddalore,3,0.0,35.5,73.0,5.9
5,Cuddalore,4,0.0,34.9,67.6,6.1
5,Cuddalore,5,0.0,33.8,65.5,3.9
5,Cuddalore,6,0.0,35.4,68.7,6.9
5,Cuddalore,7,0.0,33.4,71.8,3.8
6,Dharmapuri,1,0.0,28.9,78.3,5.3
6,Dharmapuri,2,0.0,29.8,75.5,4.3
6,Dharmapuri,3,1.4,29.9,77.0,6.5
6,Dharmapuri,4,0.0,27.9,80.4,4.3
6,Dharmapuri,5,0.0,28.7,76.9,3.2
6,Dharmapuri,6,0.0,29.8,79.7,6.3
6,Dharmapuri,7,2.0,29.0,78.0,4.5
7,Dindigul,1,0.0,31.4,81.3,4.7
7,Dindigul,2,0.0,30.8,81.7,5.8
7,Dindigul,3,0.0,29.8,83.7,5.0
7,Dindigul,4,0.0,29.9,84.5,3.6
7,Dindigul,5,0.0,31.1,82.3,5.0
7,Dindigul,6,0.0,30.7,81.3,7.0
7,Dindigul,7,0.0,30.9,82.8,5.8
8,Erode,1,1.0,32.9,59.6,3.4
8,Erode,2,4.2,31.6,62.1,3.1
8,Erode,3,21.8,29.1,78.6,4.0
8,Erode,4,38.0,29.3,74.8,1.5
8,Erode,5,0.5,33.1,65.0,4.8
8,Erode,6,2.6,31.4,66.9,2.7
8,Erode,7,2.3,31.6,65.8,5.8
9,Kallakurichi,1,0.0,32.1,87.2,6.0
9,Kallakurichi,2,0.0,33.8,84.0,5.2
9,Kallakurichi,3,0.0,31.7,88.3,5.5
9,Kallakurichi,4,0.0,33.7,82.5,5.4
9,Kallakurichi,5,0.0,31.9,84.1,3.7
9,Kallakurichi,6,0.5,32.2,88.6,4.2
9,Kallakurichi,7,0.0,31.6,81.8,4.1
10,Kanchipuram,1,0.0,30.9,64.3,2.8
10,Kanchipuram,2,0.0,32.4,62.3,7.1
10,Kanchipuram,3,0.0,30.7,60.5,6.2
10,Kanchipuram,4,0.0,31.4,63.9,6.5
10,Kanchipuram,5,0.0,31.2,59.3,4.7
10,Kanchipuram,6,0.0,31.8,64.5,6.4
10,Kanchipuram,7,0.0,32.5,66.4,6.8
11,Kanniyakumari,1,2.3,32.6,72.9,3.5
11,Kanniyakumari,2,1.6,31.8,73.7,6.1
11,Kanniyakumari,3,44.1,28.8,94.1,2.1
11,Kanniyakumari,4,33.9,27.9,86.8,5.2
11,Kanniyakumari,5,3.9,31.7,78.1,5.4
11,Kanniyakumari,6,1.0,32.9,81.1,3.1
11,Kanniyakumari,7,3.3,31.1,72.8,5.1
12,Karur,1,0.0,28.5,78.6,3.1
12,Karur,2,0.2,30.5,82.1,4.3
12,Karur,3,0.0,30.1,82.1,5.8
12,Karur,4,0.0,28.3,79.4,2.9
12,Karur,5,0.0,30.3,81.0,3.5
12,Karur,6,0.0,31.0,80.3,5.0
12,Karur,7,0.0,29.1,77.5,6.3
13,Krishnagiri,1,0.0,34.2,65.9,4.7
13,Krishnagiri,2,0.0,34.5,67.3,6.2
13,Krishnagiri,3,0.0,33.9,62.5,6.0
13,Krishnagiri,4,0.0,33.1,66.2,3.0
13,Krishnagiri,5,0.0,34.9,60.1,5.9
13,Krishnagiri,6,0.0,33.4,57.9,3.9
13,Krishnagiri,7,0.0,32.9,65.6,6.1
14,Madurai,1,1.2,33.0,63.8,4.8
14,Madurai,2,2.4,33.1,64.3,6.0
14,Madurai,3,25.3,29.8,77.1,3.2
14,Madurai,4,27.9,29.1,83.5,3.2
14,Madurai,5,2.8,32.4,71.9,4.0
14,Madurai,6,1.2,32.8,65.0,5.9
14,Madurai,7,4.8,32.4,69.3,5.5
15,Mayiladuthurai,1,0.0,30.0,83.2,4.1
15,Mayiladuthurai,2,0.0,28.1,75.4,3.5
15,Mayiladuthurai,3,0.0,27.9,78.8,6.4
15,Mayiladuthurai,4,2.6,29.5,80.4,4.9
15,Mayiladuthurai,5,0.0,30.5,79.2,5.1
15,Mayiladuthurai,6,0.0,28.4,74.0,4.9
15,Mayiladuthurai,7,1.9,30.3,77.5,3.6
16,Nagapattinam,1,0.0,27.8,71.6,4.4
16,Nagapattinam,2,0.0,29.3,75.3,4.5
16,Nagapattinam,3,0.0,30.3,72.0,5.2
16,Nagapattinam,4,0.0,29.3,69.7,3.7
16,Nagapattinam,5,0.0,29.8,75.3,3.5
16,Nagapattinam,6,0.0,28.3,74.6,4.4
16,Nagapattinam,7,0.9,29.6,73.8,4.3
17,Namakkal,1,3.1,35.3,64.7,5.9
17,Namakkal,2,2.7,35.3,61.0,6.0
17,Namakkal,3,17.5,32.2,80.0,2.2
17,Namakkal,4,34.9,30.4,79.3,2.2
17,Namakkal,5,3.5,32.9,63.7,6.3
17,Namakkal,6,0.4,34.0,61.7,3.2
17,Namakkal,7,1.3,33.8,60.0,3.4
18,Perambalur,1,0.0,35.0,76.1,6.6
18,Perambalur,2,0.0,35.0,83.5,5.0
18,Perambalur,3,0.0,34.6,78.7,4.8
18,Perambalur,4,0.0,35.7,85.6,4.7
18,Perambalur,5,0.0,34.2,76.9,4.7
18,Perambalur,6,0.0,34.7,82.5,6.0
18,Perambalur,7,0.0,33.3,76.8,3.2
19,Pudukkottai,1,2.1,33.9,82.0,3.9
19,Pudukkottai,2,3.1,33.0,84.2,5.8
19,Pudukkottai,3,47.5,29.5,97.1,2.8
19,Pudukkottai,4,49.1,31.0,92.8,4.2
19,Pudukkottai,5,2.8,32.6,78.2,5.1
19,Pudukkottai,6,4.6,32.2,86.5,4.2
19,Pudukkottai,7,2.5,32.3,84.9,5.4
20,Ramanathapuram,1,0.0,33.0,64.3,5.1
20,Ramanathapuram,2,0.0,32.8,66.9,6.8
20,Ramanathapuram,3,0.0,30.9,69.7,6.4
20,Ramanathapuram,4,0.0,31.6,70.0,4.0
20,Ramanathapuram,5,0.0,31.8,71.8,3.4
20,Ramanathapuram,6,0.0,31.7,65.3,5.3
20,Ramanathapuram,7,0.0,31.4,65.1,5.8
21,Ranipet,1,0.0,30.6,68.3,5.7
21,Ranipet,2,0.0,31.7,67.5,6.8
21,Ranipet,3,0.0,32.0,61.2,5.6
21,Ranipet,4,0.0,33.1,69.6,5.2
21,Ranipet,5,0.0,31.9,68.1,5.5
21,Ranipet,6,0.0,31.0,65.5,4.1
21,Ranipet,7,0.0,32.6,67.3,6.5
22,Salem,1,0.0,34.4,73.4,5.1
22,Salem,2,0.0,34.4,66.8,4.4
22,Salem,3,0.0,33.2,65.4,6.0
22,Salem,4,0.0,34.6,65.5,4.6
22,Salem,5,1.1,32.6,67.7,4.4
22,Salem,6,0.0,33.2,68.6,3.5
22,Salem,7,0.0,33.0,70.6,5.4
23,Sivaganga,1,1.3,31.4,72.1,3.1
23,Sivaganga,2,3.4,32.4,78.6,3.7
23,Sivaganga,3,35.6,28.3,88.0,3.9
23,Sivaganga,4,44.6,28.3,87.1,2.2
23,Sivaganga,5,1.2,31.1,74.4,5.2
23,Sivaganga,6,1.5,31.7,79.5,6.7
23,Sivaganga,7,2.8,32.0,72.3,6.0
24,Tenkasi,1,0.0,33.9,64.6,6.1
24,Tenkasi,2,0.0,32.4,64.2,3.4
24,Tenkasi,3,0.0,32.5,63.8,5.4
24,Tenkasi,4,0.0,32.1,57.2,3.0
24,Tenkasi,5,0.0,34.1,56.6,4.0
24,Tenkasi,6,0.0,34.4,59.5,4.2
24,Tenkasi,7,0.0,34.1,65.0,5.1
25,Thanjavur,1,0.0,31.3,62.1,6.7
25,Thanjavur,2,0.0,29.8,59.9,4.1
25,Thanjavur,3,0.0,30.4,65.9,6.4
25,Thanjavur,4,0.0,30.1,60.0,4.3
25,Thanjavur,5,0.0,28.8,62.8,3.8
25,Thanjavur,6,0.0,29.6,65.5,5.5
25,Thanjavur,7,0.0,29.8,65.3,4.2
26,The Nilgiris,1,0.0,33.2,80.3,4.7
26,The Nilgiris,2,0.0,31.2,80.7,4.4
26,The Nilgiris,3,1.4,31.1,80.1,5.1
26,The Nilgiris,4,0.0,33.0,80.7,6.0
26,The Nilgiris,5,1.5,31.2,75.3,4.4
26,The Nilgiris,6,0.0,33.6,71.5,5.4
26,The Nilgiris,7,2.1,33.6,79.7,5.4
27,Theni,1,0.0,34.2,73.6,5.9
27,Theni,2,0.0,33.6,66.1,6.7
27,Theni,3,0.0,33.5,67.3,5.8
27,Theni,4,0.0,34.0,72.3,4.9
27,Theni,5,0.0,35.8,66.3,6.6
27,Theni,6,0.0,35.1,66.7,7.1
27,Theni,7,2.6,35.0,72.0,3.4
28,Thiruvallur,1,2.3,30.0,76.5,5.1
28,Thiruvallur,2,0.0,31.2,79.5,5.3
28,Thiruvallur,3,0.0,29.3,79.7,2.8
28,Thiruvallur,4,0.0,31.4,83.4,4.9
28,Thiruvallur,5,0.0,31.9,75.3,5.2
28,Thiruvallur,6,0.0,31.1,79.6,3.5
28,Thiruvallur,7,0.9,29.3,80.8,5.1
29,Thiruvarur,1,0.0,31.9,67.7,3.4
29,Thiruvarur,2,0.0,32.4,71.7,6.1
29,Thiruvarur,3,0.0,32.5,65.3,4.3
29,Thiruvarur,4,0.0,31.4,67.7,3.3
29,Thiruvarur,5,0.0,31.6,69.8,3.5
29,Thiruvarur,6,0.0,33.1,63.8,4.0
29,Thiruvarur,7,0.0,30.6,70.5,4.7
30,Tiruchirappalli,1,0.0,32.6,73.1,7.0
30,Tiruchirappalli,2,0.9,31.9,78.2,4.0
30,Tiruchirappalli,3,0.0,30.9,74.1,4.6
30,Tiruchirappalli,4,0.0,33.1,72.5,3.8
30,Tiruchirappalli,5,0.0,31.4,71.3,5.2
30,Tiruchirappalli,6,0.0,32.9,75.3,5.4
30,Tiruchirappalli,7,0.0,32.4,75.6,3.1
31,Tirunelveli,1,2.0,29.5,75.9,3.3
31,Tirunelveli,2,1.6,30.6,83.8,4.5
31,Tirunelveli,3,0.0,29.8,75.6,4.4
31,Tirunelveli,4,0.0,31.2,80.0,4.0
31,Tirunelveli,5,1.4,30.7,74.6,5.2
31,Tirunelveli,6,0.0,30.2,78.2,5.2
31,Tirunelveli,7,0.0,29.4,75.2,5.4
32,Tirupathur,1,0.0,31.4,68.7,4.1
32,Tirupathur,2,1.3,30.8,64.1,4.2
32,Tirupathur,3,21.1,27.2,85.2,2.3
32,Tirupathur,4,44.2,29.3,82.7,4.8
32,Tirupathur,5,0.2,30.4,71.3,2.5
32,Tirupathur,6,2.9,33.0,71.3,5.5
32,Tirupathur,7,0.6,32.3,66.9,3.3
33,Tiruppur,1,0.0,30.2,81.9,4.6
33,Tiruppur,2,0.0,29.1,79.4,3.0
33,Tiruppur,3,0.0,31.4,82.5,6.3
33,Tiruppur,4,0.0,29.0,81.4,3.3
33,Tiruppur,5,0.0,31.1,78.5,5.9
33,Tiruppur,6,0.0,29.2,76.1,3.6
33,Tiruppur,7,2.9,29.2,82.6,5.1
34,Tiruvannamalai,1,0.0,31.1,78.3,5.3
34,Tiruvannamalai,2,0.0,31.6,77.7,3.5
34,Tiruvannamalai,3,0.0,30.0,73.5,3.8
34,Tiruvannamalai,4,0.0,29.9,74.2,4.4
34,Tiruvannamalai,5,2.6,29.9,77.4,5.9
34,Tiruvannamalai,6,0.0,31.6,74.2,5.3
34,Tiruvannamalai,7,0.0,32.1,78.1,6.3
35,Tuticorin,1,0.0,32.6,72.6,6.0
35,Tuticorin,2,2.0,33.6,72.9,3.2
35,Tuticorin,3,0.0,33.2,72.9,5.4
35,Tuticorin,4,0.0,32.2,72.2,5.8
35,Tuticorin,5,0.0,33.1,63.6,4.7
35,Tuticorin,6,0.0,32.1,68.6,3.8
35,Tuticorin,7,0.0,33.6,72.7,3.7
36,Vellore,1,0.0,28.0,78.2,3.3
36,Vellore,2,0.0,29.2,72.4,6.0
36,Vellore,3,0.0,28.1,72.9,6.8
36,Vellore,4,2.0,30.1,80.7,5.3
36,Vellore,5,0.0,27.1,74.7,4.0
36,Vellore,6,0.0,29.4,73.5,4.0
36,Vellore,7,0.0,28.0,79.5,4.8
37,Villupuram,1,1.2,32.7,75.8,3.4
37,Villupuram,2,0.0,34.2,75.9,3.8
37,Villupuram,3,0.0,33.0,72.3,3.9
37,Villupuram,4,0.0,33.0,71.0,4.9
37,Villupuram,5,0.0,33.3,71.3,5.0
37,Villupuram,6,0.0,34.2,71.8,7.3
37,Villupuram,7,0.0,33.1,71.0,5.2
38,Virudhunagar,1,0.0,33.7,77.9,6.3
38,Virudhunagar,2,0.0,34.9,76.4,6.6
38,Virudhunagar,3,0.0,34.1,83.1,6.3
38,Virudhunagar,4,0.0,33.7,79.8,3.6
38,Virudhunagar,5,0.3,34.6,78.9,5.0
38,Virudhunagar,6,0.0,34.0,85.4,2.6
38,Virudhunagar,7,0.0,36.1,83.8,6.4
