district_id,district_name,avg_monthly_rainfall_mm,avg_monthly_temp_c
1,Ariyalur,205.1,31.7
2,Chengalpattu,100.7,30.3
3,Chennai,153.5,27.4
4,Coimbatore,179.6,29.7
5,Cuddalore,182.4,29.7
6,Dharmapuri,50.1,28.4
7,Dindigul,53.3,32.1
8,Erode,199.4,31.5
9,Kallakurichi,102.3,26.8
10,Kanchipuram,199.3,32.2
11,Kanniyakumari,64.6,29.4
12,Karur,61.8,31.1
13,Krishnagiri,180.2,27.3
14,Madurai,130.8,29.8
15,Mayiladuthurai,95.1,31.7
16,Nagapattinam,121.9,27.8
17,Namakkal,141.7,30.9
18,Perambalur,84.2,28.4
19,Pudukkottai,219.2,30.4
20,Ramanathapuram,124.5,29.6
21,Ranipet,70.6,27.8
22,Salem,107.5,30.0
23,Sivaganga,89.1,27.8
24,Tenkasi,62.1,30.3
25,Thanjavur,88.9,31.9
26,The Nilgiris,196.1,26.9
27,Theni,90.5,30.5
28,Thiruvallur,86.4,27.3
29,Thiruvarur,209.0,29.9
30,Tiruchirappalli,130.4,31.2
31,Tirunelveli,187.3,27.6
32,Tirupathur,66.5,29.1
33,Tiruppur,122.0,29.3
34,Tiruvannamalai,173.9,30.5
35,Tuticorin,217.3,27.1
36,Vellore,118.4,28.5
37,Villupuram,196.5,28.0
38,Virudhunagar,82.3,29.2
