district_id,district_name,groundwater_level,historical_trend,annual_recharge_bcm,annual_extraction_bcm,extraction_percentage
1,Ariyalur,16.25,Declining,0.36,0.33,91.56
2,Chengalpattu,28.3,Recharging,1.92,1.24,64.51
3,Chennai,20.66,Declining,0.49,0.53,107.99
4,Coimbatore,23.16,Recharging,0.78,0.41,51.94
5,Cuddalore,27.5,Recharging,0.74,0.38,51.72
6,Dharmapuri,25.68,Stable,0.78,0.67,85.42
7,Dindigul,32.17,Declining,0.31,0.32,102.61
8,Erode,12.66,Declining,1.05,1.0,95.38
9,Kallakurichi,10.78,Declining,1.04,1.17,112.22
10,Kanchipuram,26.11,Recharging,2.16,1.22,56.29
11,Kanniyakumari,24.09,Declining,1.91,1.96,102.46
12,Karur,24.56,Declining,1.13,1.28,113.25
13,Krishnagiri,33.85,Declining,1.66,1.72,103.91
14,Madurai,9.37,Stable,1.85,1.62,87.53
15,Mayiladuthurai,10.39,Recharging,0.94,0.61,64.81
16,Nagapattinam,16.34,Recharging,0.52,0.34,65.13
17,Namakkal,19.11,Declining,1.1,1.0,91.32
18,Perambalur,36.1,Recharging,0.89,0.57,63.62
19,Pudukkottai,13.13,Declining,1.64,1.51,92.12
20,Ramanathapuram,19.38,Declining,0.66,0.64,97.39
21,Ranipet,24.71,Declining,1.71,1.95,114.32
22,Salem,31.28,Declining,2.15,2.03,94.5
23,Sivaganga,17.46,Recharging,0.37,0.24,64.89
24,Tenkasi,36.29,Recharging,0.76,0.51,67.4
25,Thanjavur,27.66,Declining,0.99,1.06,106.96
26,The Nilgiris,21.77,Stable,2.31,1.75,75.72
27,Theni,24.84,Recharging,0.84,0.56,67.22
28,Thiruvallur,34.93,Recharging,1.59,1.07,67.08
29,Thiruvarur,37.93,Stable,0.78,0.59,75.96
30,Tiruchirappalli,9.41,Stable,0.5,0.42,83.12
31,Tirunelveli,31.76,Recharging,1.68,0.96,57.13
32,Tirupathur,19.45,Stable,0.44,0.34,77.44
33,Tiruppur,37.13,Declining,1.46,1.68,114.75
34,Tiruvannamalai,29.62,Declining,0.33,0.35,105.95
35,Tuticorin,16.0,Declining,1.48,1.4,94.31
36,Vellore,21.04,Declining,0.55,0.5,91.66
37,Villupuram,34.28,Stable,2.4,1.91,79.49
38,Virudhunagar,13.36,Recharging,1.4,0.94,67.12
